,reg,lin_reg,nmf,max_iterations,num_factors,side_data_factorization,training_rmse,test_rmse,train_class_rate,test_class_rate
0,1.84206996933e-07,2.94705170255e-07,True,50,8,False,0.826671137803,1.33514810904,0.81168580817,0.684506617776
1,2.68269579528e-09,7.90604321091e-06,True,50,8,True,4.8184456908,4.85823502044,0.280016553539,0.276515056383
2,0.0596362331659,2.94705170255e-07,True,50,8,True,5.89890815398,5.88748403402,0.0733572911619,0.0726825225406
3,0.00138949549437,2.68269579528e-09,True,50,12,False,3.79838365189,3.96104004202,0.181413346821,0.164000301379
4,6.86648845004e-09,3.23745754282e-05,False,50,8,True,1.72841972377,3.73777314755,0.679169068934,0.44084185147
5,7.19685673001e-08,0.000132571136559,False,50,8,False,0.981838106168,1.03498399022,0.757391614996,0.733103950574
6,1.67683293681e-09,4.29193426013e-09,True,50,8,False,0.827770520856,1.33796823812,0.810730796303,0.684355928372
7,0.000212095088792,0.000542867543932,True,50,16,False,1.80704977622,2.06999082429,0.527309802313,0.493758947183
8,0.00568986602902,0.000212095088792,False,50,12,True,1.00792563474,1.04656636945,0.749434951312,0.729864128387
9,3.08884359648e-06,1.59985871961e-10,False,50,12,False,0.749727727107,1.0254763487,0.853172231085,0.73521360223
10,6.86648845004e-09,1.0,False,50,8,True,1.34493217299,1.36146303132,0.638237967735,0.627144184645
11,1.15139539933e-07,0.0596362331659,False,50,16,False,1.12289955312,1.13830796736,0.696827945769,0.688575231685
12,4.29193426013e-09,1.75751062485e-08,True,50,12,True,4.99756867302,6.57350221931,0.447920019525,0.0111007860964
13,0.00355648030622,0.152641796718,False,50,12,True,1.33042938618,1.34712714384,0.641746752075,0.630936534646
14,3.23745754282e-05,8.28642772855e-05,False,50,16,False,0.959767428829,1.03057929052,0.765072386362,0.734535499912
15,0.00355648030622,4.71486636346e-07,True,50,8,True,5.24076709626,5.65367793344,0.398338986768,0.338222367331
16,1.15139539933e-07,1.75751062485e-08,False,50,12,True,0.295772126854,2.03761087248,0.982507365971,0.60712760881
17,4.09491506238e-10,0.000212095088792,True,50,12,True,5.10385852008,5.93072323693,0.453383041111,0.0304392596127
18,1.67683293681e-09,3.08884359648e-06,True,50,16,False,0.727388931318,1.38191929615,0.854104251925,0.657106261145
19,0.000542867543932,1.26485521686e-05,False,50,16,True,0.753102793851,1.02436930161,0.858375277219,0.73709721978
20,7.54312006335e-07,0.0372759372031,True,50,16,False,2.73647313994,2.94214006119,0.416243690732,0.39174222066
21,3.08884359648e-06,0.00355648030622,False,50,16,True,1.13834698583,1.16912700708,0.699367569919,0.684355928372
22,0.00355648030622,0.0596362331659,False,50,12,True,1.35032383037,1.3665455682,0.641859938667,0.635005148555
23,0.0372759372031,5.17947467923e-05,False,50,12,True,1.01475140546,1.04951211244,0.747470102823,0.727679132029
24,2.94705170255e-07,8.28642772855e-05,True,50,12,False,0.865575609323,1.30385725881,0.795167639953,0.695682748575
25,5.17947467923e-05,0.000542867543932,True,50,12,True,5.18847897922,5.21833765735,0.375217088346,0.204611095763
26,2.94705170255e-07,4.09491506238e-10,False,50,12,True,1.18350341726,1.6121577095,0.823483741807,0.682422081021
27,1.26485521686e-05,4.09491506238e-10,False,50,12,False,0.772998385989,1.03477030144,0.839466042254,0.729462289977
28,0.244205309455,2.68269579528e-09,False,50,8,True,1.08159426846,1.09875099105,0.71794078219,0.708918301228
29,0.095409547635,4.09491506238e-10,False,50,12,True,1.04744050217,1.06823347106,0.732582528942,0.721199487656
30,6.5512855686e-10,0.014563484775,True,50,8,True,6.38239582535,6.37355482904,0.0870457945876,0.0825526785042
31,0.0372759372031,0.0232995181052,False,50,12,True,1.20219118497,1.22084822883,0.679057650883,0.668006128036
32,0.244205309455,1.15139539933e-07,False,50,16,False,1.09970574931,1.11132381242,0.705589295378,0.699952281689
33,1.75751062485e-08,1.26485521686e-05,True,50,12,False,0.772825820164,1.35977445566,0.835743264514,0.668232162142
34,7.54312006335e-07,0.000212095088792,True,50,16,False,0.923780704637,1.3007286781,0.77129057474,0.696034357184
35,3.08884359648e-06,1.20679264064e-06,True,50,8,False,0.855344650579,1.34838718131,0.797634753943,0.675841977045
36,1.84206996933e-07,2.68269579528e-09,True,50,12,True,5.12490877154,6.62713851127,0.224224406566,0.00949343245347
37,6.86648845004e-09,2.68269579528e-09,True,50,12,False,0.771491324929,1.36172064308,0.835504511547,0.670643192606
