,reg,lin_reg,nmf,max_iterations,num_factors,side_data_factorization,training_rmse,test_rmse,train_class_rate,test_class_rate
0,1.59985871961e-10,1e-10,False,50,8,False,0.39066110582,1.06418579766,0.972835781881,0.718779595075
1,1e-10,0.00033932217719,False,50,8,False,1.46310547352,1.53205037774,0.566651241818,0.542245770304
2,0.00568986602902,0.390693993705,False,50,16,False,1.35685231074,1.34512082907,0.636020671652,0.640968542834
3,2.68269579528e-09,7.54312006335e-07,False,50,12,False,0.639297792675,1.02889741495,0.911068094231,0.736363869052
4,2.5595479227e-10,2.02358964773e-05,False,50,8,False,0.184236889068,1.89277486273,0.99771276577,0.563541426707
5,0.00138949549437,2.5595479227e-10,False,50,8,False,0.4626712287,1.00518166572,0.958783862547,0.743351506309
6,0.000212095088792,1e-10,False,50,16,False,0.272784540107,1.00779291864,0.98792622919,0.741457421485
7,0.014563484775,0.0372759372031,False,50,8,False,1.35308545292,1.34164820166,0.636020671652,0.640968542834
8,1.59985871961e-10,1e-10,False,50,16,False,0.719298128497,1.13991391645,0.880191315221,0.695359492181
9,0.00033932217719,0.0596362331659,False,50,16,False,1.16400326969,1.19507733604,0.708364389088,0.688039110292
10,1.93069772888e-06,0.00568986602902,False,50,8,False,0.698990195642,1.07909203292,0.887982041237,0.711459213187
11,0.000542867543932,2.5595479227e-10,False,50,16,False,0.634085665524,1.004155324,0.910690126566,0.745168803911
12,6.5512855686e-10,2.94705170255e-07,False,50,16,False,0.714512215825,1.06554210591,0.883239783393,0.722030254166
13,8.28642772855e-05,0.00355648030622,False,50,12,False,0.759734699497,1.31057378941,0.865159152646,0.648980009726
14,1.09854114199e-08,4.09491506238e-10,False,50,12,False,0.586759883332,1.81474590311,0.929623833864,0.58632163608
15,1.93069772888e-06,2.5595479227e-10,False,50,8,False,0.503808676493,1.04019911359,0.948792446299,0.73510967775
16,2.68269579528e-09,1.67683293681e-09,False,50,8,False,1.28017666158,1.30660914765,0.639016153702,0.623409864599
17,0.625055192527,0.00568986602902,False,50,16,False,1.34027794386,1.32982599428,0.641158559201,0.644219201925
18,7.19685673001e-08,0.000212095088792,False,50,16,False,0.245630488485,1.08788350482,0.99283274401,0.710025851698
19,0.0596362331659,1.84206996933e-07,False,50,16,False,1.16316426866,1.1748881591,0.712869975591,0.705674575751
20,1.93069772888e-06,1.15139539933e-07,False,50,12,False,0.818796244847,1.14927372759,0.833888510136,0.678901430802
21,0.000868511373751,2.02358964773e-05,False,50,12,False,0.849385123447,1.01343081132,0.819659970398,0.744324144462
22,1.20679264064e-06,1.09854114199e-08,False,50,8,False,1.35723837228,1.44742240299,0.618690677622,0.577260743812
23,3.08884359648e-06,0.000868511373751,False,50,12,False,0.401173090137,1.2699486049,0.96987915632,0.658040901994
24,0.014563484775,3.08884359648e-06,False,50,12,False,0.995858259769,1.05663794056,0.764702765522,0.734572167191
25,0.625055192527,4.49843266897e-08,False,50,12,False,1.32672315602,1.31762859946,0.656987279799,0.659243901815
26,2.68269579528e-09,2.81176869797e-08,False,50,16,False,1.18406747992,1.5038740702,0.717735867718,0.59781412373
27,8.28642772855e-05,4.94171336132e-06,False,50,12,False,0.582625150307,1.0039027768,0.928297414631,0.746371803732
28,5.17947467923e-05,1.09854114199e-08,False,50,8,False,0.541860321204,1.00384298796,0.940097423815,0.745834293174
29,0.00355648030622,1.0,False,50,16,False,1.35717427466,1.3454341254,0.636020671652,0.640968542834
30,1.93069772888e-06,2.5595479227e-10,False,50,16,False,0.469216336966,1.03261671512,0.958155093909,0.73306201848
31,1.20679264064e-06,2.81176869797e-08,False,50,16,False,0.710268842323,1.1011594021,0.883467623714,0.709667511326
32,1.15139539933e-07,2.68269579528e-09,False,50,12,False,1.24981082957,1.26914525858,0.662061584002,0.649901456398
33,1.09854114199e-08,0.00033932217719,False,50,12,False,0.809359267825,1.24641537778,0.846734112112,0.661957050347
34,2.68269579528e-09,1.09854114199e-08,False,50,12,False,1.16634604518,1.41030633873,0.702027248996,0.608205994523
35,0.0232995181052,1.59985871961e-10,False,50,16,False,1.05235746483,1.09050977206,0.745650722554,0.726509508818
36,2.02358964773e-05,0.00355648030622,False,50,12,False,0.518927174039,1.29065610472,0.945878209634,0.651539583813
37,4.09491506238e-10,0.390693993705,False,50,8,False,1.30497701807,1.30296526173,0.627627670059,0.628093885178
38,2.81176869797e-08,2.5595479227e-10,False,50,12,False,0.407711835995,1.04489037376,0.970283617045,0.726253551409
39,8.28642772855e-05,0.00355648030622,False,50,8,False,0.801651369208,1.08453047446,0.852716245192,0.713174127825
40,0.00568986602902,0.00138949549437,False,50,8,False,1.27701546805,1.27236165357,0.687305938331,0.688806982518
41,5.17947467923e-05,6.86648845004e-09,False,50,8,False,0.738113128043,1.00681877693,0.870561970801,0.744605697612
42,1.09854114199e-08,0.00355648030622,False,50,12,False,0.272488189367,1.07870315764,0.990787479733,0.713481276716
43,0.000132571136559,8.28642772855e-05,False,50,12,False,1.00693907371,1.07695194772,0.755921199041,0.721748701016
44,1.67683293681e-09,0.014563484775,False,50,16,False,0.612006247646,1.08637918639,0.917860914964,0.708950830582
45,3.23745754282e-05,0.000132571136559,False,50,12,False,1.74287300611,2.07926299731,0.553357024017,0.493357905245
46,8.28642772855e-05,1.0,False,50,8,False,1.343016985,1.33269560186,0.637371817742,0.641070925798
47,0.095409547635,0.0372759372031,False,50,12,False,1.35287357615,1.3413749947,0.636020671652,0.640968542834
48,0.00355648030622,4.94171336132e-06,False,50,8,False,0.799646305671,1.00864394717,0.846085915229,0.745373569838
49,3.23745754282e-05,1.15139539933e-07,False,50,16,False,0.842236687516,1.15529553463,0.832267134828,0.690573088638
50,1.84206996933e-07,0.000868511373751,False,50,16,False,0.410600675814,1.07235537383,0.969653082203,0.712866978935
51,4.94171336132e-06,0.390693993705,False,50,12,False,1.2817898567,1.28407469615,0.64172197829,0.640482223758
52,4.71486636346e-07,1.93069772888e-06,False,50,12,False,0.379233147474,1.13487525287,0.973939659405,0.692927896798
53,1.26485521686e-05,0.00568986602902,False,50,8,False,0.643895022497,1.07897592502,0.907387325013,0.713174127825
54,2.68269579528e-09,0.0372759372031,False,50,16,False,0.727715583139,1.083150733,0.878124856496,0.709974660217
55,6.5512855686e-10,0.000868511373751,False,50,12,False,0.167673555586,1.50400047709,0.997163476313,0.599247485218
56,0.000868511373751,8.28642772855e-05,False,50,12,False,1.01783178322,1.06557588509,0.752616631284,0.729836955131
57,4.09491506238e-10,0.014563484775,False,50,16,False,0.675513459758,1.08106861891,0.895331216243,0.710102638921
58,1.75751062485e-08,4.09491506238e-10,False,50,16,False,0.626040876514,1.029329387,0.915840377544,0.736747805165
59,1.93069772888e-06,3.08884359648e-06,False,50,8,False,1.45175397184,1.65017295354,0.603571971048,0.542220174563
60,0.00568986602902,4.49843266897e-08,False,50,16,False,0.858470806153,1.01340219258,0.82053954001,0.744093782795
61,0.095409547635,0.014563484775,False,50,8,False,1.34716486838,1.336174693,0.636038333692,0.640968542834
62,1.15139539933e-07,1.0,False,50,8,False,1.33918124038,1.32926499064,0.636744815308,0.639611968568
63,4.94171336132e-06,0.390693993705,False,50,12,False,1.28444643841,1.2859553608,0.640497998891,0.638844096342
